work_year,salary_in_usd,salary_category,salary_quartile,salary_quartile_encoded,remote_type,PC1,employment_type_CT,employment_type_FL,employment_type_FT,employment_type_PT,remote_type__Fully,remote_type__Hybrid,remote_type__On-site
2024,146000,High,Q3,2,Fully,67.95521054101481,False,False,True,False,True,False,False
2024,220600,Very High,Q4,3,On-site,-32.04605731429689,False,False,True,False,False,False,True
2024,140100,High,Q2,1,On-site,-32.04459128602447,False,False,True,False,False,False,True
2024,236872,Very High,Q4,3,On-site,-32.04635365233476,False,False,True,False,False,False,True
2024,148045,High,Q3,2,On-site,-32.04473597664092,False,False,True,False,False,False,True
2024,143896,High,Q3,2,On-site,-32.04515459281231,False,False,True,False,False,False,True
2024,99208,Medium,Q1,0,On-site,-32.04434075590004,False,False,True,False,False,False,True
2024,250000,Very High,Q4,3,On-site,-32.04659273331812,False,False,True,False,False,False,True
2024,160000,High,Q3,2,On-site,-32.04495369549802,False,False,True,False,False,False,True
2024,200000,Very High,Q4,3,On-site,-32.0456821567514,False,False,True,False,False,False,True
2024,25000,Low,Q1,0,On-site,-32.04249513876788,False,False,True,False,False,False,True
2024,137500,High,Q2,1,On-site,-32.044543936043,False,False,True,False,False,False,True
2024,81500,Medium,Q1,0,On-site,-32.04352409028828,False,False,True,False,False,False,True
2024,209700,Very High,Q4,3,On-site,-32.04536463279045,False,False,True,False,False,False,True
2024,161300,High,Q3,2,On-site,-32.04448319467387,False,False,True,False,False,False,True
2024,249000,Very High,Q4,3,On-site,-32.04657452178679,False,False,True,False,False,False,True
2024,216000,Very High,Q4,3,On-site,-32.04597354125275,False,False,True,False,False,False,True
2024,170040,High,Q3,2,On-site,-32.045136539272626,False,False,True,False,False,False,True
2024,113360,High,Q2,1,On-site,-32.04410430967659,False,False,True,False,False,False,True
2024,178250,High,Q3,2,On-site,-32.04578023175977,False,False,True,False,False,False,True
2024,110500,High,Q2,1,On-site,-32.04454640051186,False,False,True,False,False,False,True
2024,83300,Medium,Q1,0,On-site,-32.04454522267446,False,False,True,False,False,False,True
2024,47500,Low,Q1,0,On-site,-32.04389324985269,False,False,True,False,False,False,True
2024,200000,Very High,Q4,3,Fully,67.95422711832275,False,False,True,False,True,False,False
2024,148500,High,Q3,2,Fully,67.95516501218647,False,False,True,False,True,False,False
2024,138000,High,Q2,1,On-site,-32.04455304180867,False,False,True,False,False,False,True
2024,120000,High,Q2,1,On-site,-32.04422523424465,False,False,True,False,False,False,True
2024,250000,Very High,Q4,3,On-site,-32.04659273331812,False,False,True,False,False,False,True
2024,200000,Very High,Q4,3,On-site,-32.0456821567514,False,False,True,False,False,False,True
2024,110000,High,Q2,1,Fully,67.95586615614285,False,False,True,False,True,False,False
2024,90000,Medium,Q1,0,Fully,67.95623038676953,False,False,True,False,True,False,False
2024,142000,High,Q3,2,Fully,67.95478921132525,False,False,True,False,True,False,False
2024,129500,High,Q2,1,Fully,67.95501685546694,False,False,True,False,True,False,False
2024,210554,Very High,Q4,3,On-site,-32.04636853706799,False,False,True,False,False,False,True
2024,131596,High,Q2,1,On-site,-32.0449305909769,False,False,True,False,False,False,True
2024,170000,High,Q3,2,On-site,-32.04513581081137,False,False,True,False,False,False,True
2024,130000,High,Q2,1,On-site,-32.04440734955799,False,False,True,False,False,False,True
2024,159550,High,Q3,2,On-site,-32.04494550030893,False,False,True,False,False,False,True
2024,113000,High,Q2,1,On-site,-32.04409775352531,False,False,True,False,False,False,True
2024,135000,High,Q2,1,On-site,-32.044992583029554,False,False,True,False,False,False,True
2024,100000,High,Q1,0,On-site,-32.044355179432856,False,False,True,False,False,False,True
2024,245400,Very High,Q4,3,On-site,-32.04700313608887,False,False,True,False,False,False,True
2024,139000,High,Q2,1,On-site,-32.045065429154896,False,False,True,False,False,False,True
2024,190000,High,Q4,3,On-site,-32.04550004143805,False,False,True,False,False,False,True
2024,167000,High,Q3,2,On-site,-32.045081176217366,False,False,True,False,False,False,True
2024,304000,Very High,Q4,3,On-site,-32.04757615601017,False,False,True,False,False,False,True
2024,244000,Very High,Q4,3,On-site,-32.04648346413011,False,False,True,False,False,False,True
2024,62500,Medium,Q1,0,On-site,-32.044166422822705,False,False,True,False,False,False,True
